User Email,and can articulate my strengths as a team member (baseline),how to set up a new team for success (baseline),confident communicating and collaborating effectively when working in a virtual team environment (baseline),effectively and efficiently navigate team conflicts while working towards solutions (baseline),and can articulate my strengths as a team member (final),how to set up a new team for success (final),confident communicating and collaborating effectively when working in a virtual team environment (final),effectively and efficiently navigate team conflicts while working towards solutions (final),and can articulate my strengths as a team member (change),how to set up a new team for success (change),confident communicating and collaborating effectively when working in a virtual team environment (change),effectively and efficiently navigate team conflicts while working towards solutions (change)
368be72f61d23a2bfc8c6d07420ad0a742587a5a03fbfbf20ce646c89ce29724,3.0,3.0,4.0,3.0,4,4,4,4,1.0,1.0,0.0,1.0
cd9060f5f630808e4f4391d33c1221161c46571d725d0e2ab6fe1a4620dcee0c,3.0,3.0,4.0,3.0,4,4,5,4,1.0,1.0,1.0,1.0
84d1acbdc265054cce941ef1410e33f9b35ec1aaae9b03955478a6c42f41ecef,4.0,4.0,4.0,3.0,5,5,5,5,1.0,1.0,1.0,2.0
3d89856627d3f11c052dd3c214dd6831c0b131f7a8bb5e5b7e1ca0d7d9762197,5.0,5.0,5.0,5.0,5,5,5,5,0.0,0.0,0.0,0.0
3eb9e2c2bc7580ed019856780b6f09c60397cce8d1710ef997580497e95ca631,4.0,3.0,5.0,4.0,4,4,1,4,0.0,1.0,-4.0,0.0
f1353d18cc72f8b76f2df92a1a5c19c54baa1112d0d6697f4a78eb56bc88f0b8,5.0,4.0,5.0,4.0,4,4,4,4,-1.0,0.0,-1.0,0.0
d8ee994eb60d75a81f64848a32759c273f651094ed724b1a80493c4eec4a2e99,4.0,4.0,4.0,4.0,5,5,5,5,1.0,1.0,1.0,1.0
da7584119a4bec08ae693384812fac9d3fc3b3181f58cc110873cffdb96d20e9,5.0,5.0,5.0,5.0,5,5,5,5,0.0,0.0,0.0,0.0
3b6ccd6190c6c94e50a619ed180592f912eb6b952bc416c4e8ee154f80d66975,4.0,3.0,3.0,4.0,4,4,4,4,0.0,1.0,1.0,0.0
ed9d1dc54b55b643c10bd18323d768da52f3699b598c0758403955db22e3623a,4.0,4.0,4.0,4.0,4,4,4,4,0.0,0.0,0.0,0.0
