User Email,to articulate my own personal & workplace values (baseline),to identity organisations that share my personal and workplace values (baseline),"at perceiving others’ worldviews and effectively acknowledging, navigating and respecting these views when working in a multicultural team setting (baseline)",and take into consideration local culture and business intelligence when working with an international client/organisation (baseline),to articulate my own personal & workplace values (final),to identity organisations that share my personal and workplace values (final),"at perceiving others’ worldviews and effectively acknowledging, navigating and respecting these views when working in a multicultural team setting (final)",and take into consideration local culture and business intelligence when working with an international client/organisation (final),to articulate my own personal & workplace values (change),to identity organisations that share my personal and workplace values (change),"at perceiving others’ worldviews and effectively acknowledging, navigating and respecting these views when working in a multicultural team setting (change)",and take into consideration local culture and business intelligence when working with an international client/organisation (change)
368be72f61d23a2bfc8c6d07420ad0a742587a5a03fbfbf20ce646c89ce29724,4.0,3.0,4.0,3.0,4,4,4,4,0.0,1.0,0.0,1.0
4d4f6acd01ecff615137cae36dd8ae940a8456c8925c823324604df576dc5637,5.0,5.0,5.0,5.0,5,5,5,5,0.0,0.0,0.0,0.0
53f58a0368456c48f6403a4d5d1c90a82b2a78ad5df5d2dfd27dc2bec496704f,4.0,4.0,4.0,3.0,5,5,4,4,1.0,1.0,0.0,1.0
f2a448579ac19a8fc3372ed45dbceeaeae764afeb2d15d324af90f0462dbeeda,4.0,4.0,5.0,5.0,4,4,5,5,0.0,0.0,0.0,0.0
ad441f460cb6b3c1084fde458be3e27631c67a1497298c5be82ffc2295b9318f,5.0,3.0,4.0,4.0,5,5,4,4,0.0,2.0,0.0,0.0
f1353d18cc72f8b76f2df92a1a5c19c54baa1112d0d6697f4a78eb56bc88f0b8,5.0,5.0,5.0,4.0,4,5,5,4,-1.0,0.0,0.0,0.0
cd9060f5f630808e4f4391d33c1221161c46571d725d0e2ab6fe1a4620dcee0c,4.0,4.0,4.0,4.0,4,4,4,4,0.0,0.0,0.0,0.0
d944afeac1d9083ef2c84b80b1d798471cda1016bf0b19aed8ed8b93cff4f3e8,4.0,5.0,3.0,3.0,4,4,5,5,0.0,-1.0,2.0,2.0
4d4146f08c04a4c2a691102095dd0bddc9f29cd76b33ea80ccf975cd2017a5cb,4.0,5.0,4.0,4.0,5,4,5,4,1.0,-1.0,1.0,0.0
a25fd49ad151c6268a6289e5ca7e241807718229ba6e18e1b7cb85e910dad579,4.0,4.0,4.0,2.0,4,4,4,4,0.0,0.0,0.0,2.0
