User Email,the use of data science within my field of study and how it applies to my future careers (baseline),the key concepts and techniques involved in a data analysis workflow (baseline),and am able to explain how to produce a clean data set (baseline),and am able to explain how to perform a basic data analysis in order to provide insights (baseline),and am able to summarise and identify presentable data driven insights in a report (baseline),the use of data science within my field of study and how it applies to my future careers (final),the key concepts and techniques involved in a data analysis workflow (final),and am able to explain how to produce a clean data set (final),and am able to explain how to perform a basic data analysis in order to provide insights (final),and am able to summarise and identify presentable data driven insights in a report (final),the use of data science within my field of study and how it applies to my future careers (change),the key concepts and techniques involved in a data analysis workflow (change),and am able to explain how to produce a clean data set (change),and am able to explain how to perform a basic data analysis in order to provide insights (change),and am able to summarise and identify presentable data driven insights in a report (change)
53f58a0368456c48f6403a4d5d1c90a82b2a78ad5df5d2dfd27dc2bec496704f,3.0,2.0,2.0,3.0,3.0,3,4,4,4,4,0.0,2.0,2.0,1.0,1.0
f2a448579ac19a8fc3372ed45dbceeaeae764afeb2d15d324af90f0462dbeeda,2.0,2.0,2.0,3.0,3.0,4,3,3,4,4,2.0,1.0,1.0,1.0,1.0
99adabeeb3ad685d370cdec8053a5ca50a9f064e4c8d97e9e69a7d98d8a8741e,4.0,3.0,2.0,4.0,5.0,4,4,4,4,4,0.0,1.0,2.0,0.0,-1.0
7366e85eb3b8a0b6f7ccfd6021705a55aafab5ef76f70dcd86590579eabe7024,3.0,2.0,2.0,2.0,3.0,4,4,3,4,4,1.0,2.0,1.0,2.0,1.0
3fff6bed307bf386581795c6089c892f1154bd75f6cf035b9b2659ae5b8b31e8,5.0,4.0,4.0,4.0,5.0,5,5,5,5,5,0.0,1.0,1.0,1.0,0.0
3b3bd3d6636badba6de7c6bed224f61531d106fa6384e249d752ac58e7938c49,5.0,4.0,3.0,4.0,4.0,4,5,5,4,4,-1.0,1.0,2.0,0.0,0.0
3956879293c32a0e5f18af0337a04d2e07e1d6a1fe0afb4a441e4329c9b7f2b7,3.0,3.0,2.0,2.0,3.0,4,4,4,4,4,1.0,1.0,2.0,2.0,1.0
fb636c9a8e7b186ae92875560b9c89a5751fbda643df6c7ed997599240552447,3.0,3.0,2.0,3.0,4.0,4,4,4,4,4,1.0,1.0,2.0,1.0,0.0
4f2e776785204b1c72c6ae6dddf6ff719900144cb54ba4c317ab806145eb3625,3.0,3.0,3.0,3.0,3.0,5,5,5,5,5,2.0,2.0,2.0,2.0,2.0
910eff5fbc3c7c4a6cae92453a0d5a9fae30a80f2482628a793602ea60bd5b8a,3.0,3.0,3.0,3.0,3.0,5,5,5,5,5,2.0,2.0,2.0,2.0,2.0
4d4f6acd01ecff615137cae36dd8ae940a8456c8925c823324604df576dc5637,4.0,3.0,3.0,3.0,4.0,4,3,3,4,4,0.0,0.0,0.0,1.0,0.0
368be72f61d23a2bfc8c6d07420ad0a742587a5a03fbfbf20ce646c89ce29724,4.0,2.0,1.0,1.0,2.0,4,5,3,4,4,0.0,3.0,2.0,3.0,2.0
0e119bfc228797e9fe64d38e5cfc35bf5dbe8af342b41eaa39a4ab4f126e0555,2.0,2.0,2.0,3.0,3.0,5,5,4,5,5,3.0,3.0,2.0,2.0,2.0
c02d309132acca1bccdc395f2ddd61fdb2adf17321c2095bd2c1988004f59c86,5.0,5.0,5.0,5.0,5.0,5,4,4,4,4,0.0,-1.0,-1.0,-1.0,-1.0
cf7d83ec582ca3c56848aae6145d96960c168e0ee399bd3a593d9e79ed9b4d37,3.0,2.0,1.0,3.0,2.0,3,5,5,5,5,0.0,3.0,4.0,2.0,3.0
243ad93aee3e033fd36772b00e8ba14766cd90b4e6bfa0ff4058216df29d8add,4.0,5.0,3.0,4.0,4.0,5,5,5,5,5,1.0,0.0,2.0,1.0,1.0
