User Email,to use a structured and logical approach when solving complex problems problem solving (baseline),"to think creatively, innovatively and divergently initiate fresh solutions to complex problem (baseline)",cognitive flexibility and curiosity to continue investigating the best solution when aspects of the innovation aren’t working out (baseline),"to pitch an idea succinctly, clearly and persuasively, selecting appropriate presentation materials to support key information (baseline)",to use a structured and logical approach when solving complex problems problem solving (final),"to think creatively, innovatively and divergently initiate fresh solutions to complex problem (final)",cognitive flexibility and curiosity to continue investigating the best solution when aspects of the innovation aren’t working out (final),"to pitch an idea succinctly, clearly and persuasively, selecting appropriate presentation materials to support key information (final)",to use a structured and logical approach when solving complex problems problem solving (change),"to think creatively, innovatively and divergently initiate fresh solutions to complex problem (change)",cognitive flexibility and curiosity to continue investigating the best solution when aspects of the innovation aren’t working out (change),"to pitch an idea succinctly, clearly and persuasively, selecting appropriate presentation materials to support key information (change)"
4d4f6acd01ecff615137cae36dd8ae940a8456c8925c823324604df576dc5637,4.0,3.0,3.0,3.0,5,5,5,5,1.0,2.0,2.0,2.0
368be72f61d23a2bfc8c6d07420ad0a742587a5a03fbfbf20ce646c89ce29724,3.0,2.0,3.0,3.0,4,4,4,4,1.0,2.0,1.0,1.0
ad441f460cb6b3c1084fde458be3e27631c67a1497298c5be82ffc2295b9318f,4.0,4.0,3.0,3.0,4,4,4,4,0.0,0.0,1.0,1.0
978b5f4292850ea9fe06ce3be8b335211182a942583b0eea70a7736fe49132eb,4.0,4.0,4.0,4.0,4,4,4,4,0.0,0.0,0.0,0.0
d944afeac1d9083ef2c84b80b1d798471cda1016bf0b19aed8ed8b93cff4f3e8,2.0,3.0,2.0,2.0,4,4,4,5,2.0,1.0,2.0,3.0
53f58a0368456c48f6403a4d5d1c90a82b2a78ad5df5d2dfd27dc2bec496704f,4.0,4.0,5.0,5.0,4,4,4,4,0.0,0.0,-1.0,-1.0
3d89856627d3f11c052dd3c214dd6831c0b131f7a8bb5e5b7e1ca0d7d9762197,5.0,5.0,5.0,5.0,5,5,5,5,0.0,0.0,0.0,0.0
3fff6bed307bf386581795c6089c892f1154bd75f6cf035b9b2659ae5b8b31e8,5.0,4.0,4.0,4.0,5,5,5,5,0.0,1.0,1.0,1.0
3b3bd3d6636badba6de7c6bed224f61531d106fa6384e249d752ac58e7938c49,5.0,5.0,5.0,5.0,5,3,3,3,0.0,-2.0,-2.0,-2.0
2f901bf0e969710827ab90e02119c084198ce0eec904e829eb8de33acc297593,3.0,3.0,5.0,3.0,4,5,5,4,1.0,2.0,0.0,1.0
37745e914af0ee24cd74de84a1b3bdc11fb9e7875df68e1e810116386ff45f8e,3.0,3.0,3.0,3.0,4,4,4,4,1.0,1.0,1.0,1.0
fb636c9a8e7b186ae92875560b9c89a5751fbda643df6c7ed997599240552447,4.0,4.0,5.0,4.0,4,4,4,4,0.0,0.0,-1.0,0.0
02d7057f49d581bf8e492ccb5faf6cd2059d6394645ee05d9dc4c86c03e72e80,4.0,4.0,5.0,4.0,4,4,4,4,0.0,0.0,-1.0,0.0
eff6a9c913745783addbd5eded2dc68c1a0ec4f98434c220b55e239fad0e6a07,4.0,4.0,3.0,4.0,5,5,5,5,1.0,1.0,2.0,1.0
8d5b846ad37ff6d28e00f7625cd642c67fa26993d89b5150414d6faf537128c8,3.0,4.0,2.0,4.0,5,5,5,5,2.0,1.0,3.0,1.0
aa46a8d2228822d8a6febfb77475f7cc6811e7a8b7e946a3b7c92bf4e59c61e8,5.0,4.0,5.0,4.0,5,5,5,5,0.0,1.0,0.0,1.0
c02d309132acca1bccdc395f2ddd61fdb2adf17321c2095bd2c1988004f59c86,5.0,5.0,4.0,4.0,5,5,5,5,0.0,0.0,1.0,1.0
f2a448579ac19a8fc3372ed45dbceeaeae764afeb2d15d324af90f0462dbeeda,4.0,4.0,3.0,3.0,4,4,4,3,0.0,0.0,1.0,0.0
7366e85eb3b8a0b6f7ccfd6021705a55aafab5ef76f70dcd86590579eabe7024,4.0,3.0,2.0,3.0,4,3,3,3,0.0,0.0,1.0,0.0
2a3d74de2adef5fca2b2ee6d004be68c1cc50f6d48fcf3f571554da4915b438d,3.0,2.0,4.0,2.0,4,4,5,5,1.0,2.0,1.0,3.0
b0f6208825a95408288a8536c1ddc43e4e5039ba6f2cc45fa2661497d4f0d103,3.0,4.0,3.0,2.0,4,4,4,4,1.0,0.0,1.0,2.0
638b12e5ea13f5aaef326dba0ad4070116fa3e0c8ab0b7dc942d56f75e49750a,4.0,5.0,3.0,5.0,3,3,3,4,-1.0,-2.0,0.0,-1.0
243ad93aee3e033fd36772b00e8ba14766cd90b4e6bfa0ff4058216df29d8add,3.0,4.0,4.0,4.0,4,5,5,5,1.0,1.0,1.0,1.0
4d4146f08c04a4c2a691102095dd0bddc9f29cd76b33ea80ccf975cd2017a5cb,3.0,3.0,4.0,3.0,4,4,4,4,1.0,1.0,0.0,1.0
75be10d3c7bc0f01d37a23e0fc3f5b814a3baca62608e348b18855efa8461f2d,3.0,4.0,3.0,2.0,4,4,5,4,1.0,0.0,2.0,2.0
c5940aafc781b2ac47bf26f3e5aef3d4a731791905c1d13ec9574440a30e12a9,3.0,3.0,3.0,3.0,4,4,4,4,1.0,1.0,1.0,1.0
40ddbe64bfee63ee192bb5abb1651882d52a41db62f8328409f1a1d6ccd2ad26,2.0,4.0,4.0,4.0,5,5,5,5,3.0,1.0,1.0,1.0
c9ab044bb9213f923611099d8d96cd3cae0e91a6cf6ad88327b3cb055981e1cc,4.0,3.0,4.0,4.0,5,4,5,4,1.0,1.0,1.0,0.0
b1040cfb1474f1674eb87347d8f882058c76f12ae2c4a04cf3b3207e7af58872,4.0,3.0,4.0,4.0,5,4,4,5,1.0,1.0,0.0,1.0
9a95b72e751d1e4321d4a67f3e09294a05ad04850020711436a7087c79a91c27,4.0,3.0,4.0,5.0,4,5,3,4,0.0,2.0,-1.0,-1.0
26b9a02bd40f7e74f580efe1260e8f71c36386b1a215c14a7a664f9620427c8e,4.0,4.0,3.0,4.0,4,4,4,4,0.0,0.0,1.0,0.0
3569a9e2f1ec09d3bf7bd2962e668da52ba27b30387274a38285927f5b148570,5.0,5.0,5.0,5.0,4,4,4,5,-1.0,-1.0,-1.0,0.0
4f2e776785204b1c72c6ae6dddf6ff719900144cb54ba4c317ab806145eb3625,4.0,4.0,4.0,3.0,5,5,5,5,1.0,1.0,1.0,2.0
9e50eba694332f0fde0488d84d59f3bd1186c819b8ed83eea55fa77cdb1ac876,3.0,3.0,3.0,3.0,4,4,4,4,1.0,1.0,1.0,1.0
5646897a76fb92aabc9a1f886fc2f58be742f97f5c9ef7b3261a8a481877421b,5.0,5.0,5.0,5.0,5,5,5,5,0.0,0.0,0.0,0.0
24f50a7b70db4b1b9bb4052b0543f279b543d26f51abbfccf8fb78198bc946df,4.0,3.0,4.0,3.0,4,4,3,4,0.0,1.0,-1.0,1.0
71c22b7f7a65e110bbe19dc3860a03b8ea883c4ebb9978807127c31cf42abdbb,3.0,3.0,3.0,3.0,4,3,4,3,1.0,0.0,1.0,0.0
c64c4f93cddd8d05cedb570197e66c990a48f05f88387457c444d0515481e2bd,4.0,4.0,5.0,4.0,4,4,4,4,0.0,0.0,-1.0,0.0
bf08add134d9efbfdb59e424c02d9f6e994b2d0500a19780cf334b98bcc24c49,3.0,3.0,3.0,4.0,3,3,3,3,0.0,0.0,0.0,-1.0
ac8bb5f9cb88b0f9254af9def7dacbf449befa841cfea001e40f0f1c15ed3c2b,4.0,4.0,3.0,4.0,4,5,3,5,0.0,1.0,0.0,1.0
b525a44353ea57c0d8d1bf75364ec96c3869101d6d97f77e503400b258e67935,4.0,4.0,4.0,4.0,5,4,5,5,1.0,0.0,1.0,1.0
dd5dd93c6f1e5516463677216af08a8247d93eb68e3de6ea6bf3ca2ae37ff801,3.0,5.0,3.0,3.0,4,4,4,4,1.0,-1.0,1.0,1.0
8f285abdb83435637c790a9922ccdcd2eed6a89e934380aac325234a7ea44f37,4.0,5.0,3.0,2.0,5,5,5,5,1.0,0.0,2.0,3.0
528451b9601b6b94341d6e8f98e4b7baae363665bbf39e02067bb41ec010ebd7,5.0,4.0,3.0,3.0,5,4,4,4,0.0,0.0,1.0,1.0
a3efa0e5f60c978140b1881fa7d81e74f381291422c05546e96c96eb73ddaf3f,4.0,3.0,4.0,3.0,5,5,5,5,1.0,2.0,1.0,2.0
953026eb996ce9cd21730d009f26c54f78edb6ed7635ccbc3ea94c032597e6ce,4.0,4.0,4.0,3.0,4,4,4,4,0.0,0.0,0.0,1.0
376cc78ba4589dc7976f0180b4fbe67a0f872370cb4c9c526994b37a2ce4a83e,4.0,4.0,4.0,4.0,5,5,5,5,1.0,1.0,1.0,1.0
ac57a589c380490f1de1f7aa09345e49491552684859c3f2700ece4b4e5615c6,4.0,4.0,4.0,2.0,4,4,4,4,0.0,0.0,0.0,2.0
e36169f00a47ee24bf8f6e504ee5a6035c973d5da4ef993660a0f51914b451ec,4.0,4.0,3.0,4.0,4,3,4,4,0.0,-1.0,1.0,0.0
d56fec8aa1493f116e2269d6cb4d1e3ef571c0853a4667a55130bec1b72c77f9,5.0,5.0,5.0,5.0,5,5,5,5,0.0,0.0,0.0,0.0
99adabeeb3ad685d370cdec8053a5ca50a9f064e4c8d97e9e69a7d98d8a8741e,5.0,4.0,4.0,3.0,5,5,5,5,0.0,1.0,1.0,2.0
