User Email,to practise critical thinking and structured problem-solving while working towards solutions (baseline),to truly understand the root cause of a problem and can accurately and succinctly articulate that core problem (baseline),to maintain a level of adaptability and flexibility during the generation of solutions to situations (baseline),to practise critical thinking and structured problem-solving while working towards solutions (final),to maintain a level of adaptability and flexibility during the generation of solutions to situations (final),to truly understand the root cause of a problem and can accurately and succinctly articulate that core problem (final),to practise critical thinking and structured problem-solving while working towards solutions (change),to truly understand the root cause of a problem and can accurately and succinctly articulate that core problem (change),to maintain a level of adaptability and flexibility during the generation of solutions to situations (change)
4d4f6acd01ecff615137cae36dd8ae940a8456c8925c823324604df576dc5637,5.0,5.0,5.0,5,5,5,0.0,0.0,0.0
368be72f61d23a2bfc8c6d07420ad0a742587a5a03fbfbf20ce646c89ce29724,3.0,3.0,4.0,3,3,3,0.0,0.0,-1.0
52badddfec0abbbd22b6ec63993627dbe0581065ee77a564a85737c92a449175,4.0,5.0,3.0,5,5,5,1.0,0.0,2.0
a25fd49ad151c6268a6289e5ca7e241807718229ba6e18e1b7cb85e910dad579,4.0,4.0,4.0,4,4,4,0.0,0.0,0.0
981c1b1b55c111c78307991f5433548506ceee2ae395d344eaec25f159b9cd2f,4.0,4.0,3.0,4,4,4,0.0,0.0,1.0
53f58a0368456c48f6403a4d5d1c90a82b2a78ad5df5d2dfd27dc2bec496704f,4.0,5.0,4.0,4,4,4,0.0,-1.0,0.0
3fff6bed307bf386581795c6089c892f1154bd75f6cf035b9b2659ae5b8b31e8,5.0,5.0,5.0,5,5,5,0.0,0.0,0.0
3b3bd3d6636badba6de7c6bed224f61531d106fa6384e249d752ac58e7938c49,5.0,5.0,5.0,5,5,5,0.0,0.0,0.0
0e987ff2aec346c41da73673078988d2c6517ec2b9b4f95b0d9be935d1b592cf,3.0,4.0,4.0,5,4,4,2.0,0.0,0.0
3eb9e2c2bc7580ed019856780b6f09c60397cce8d1710ef997580497e95ca631,3.0,4.0,5.0,3,3,4,0.0,0.0,-2.0
ba9ddf8e0bb819b557d486a4d85099f37f1f9c72d28c9172aeac1867c4a92a66,4.0,4.0,4.0,4,4,4,0.0,0.0,0.0
379649626998a028f146736d7177a02ed3e35a093321a9c66c2401faffd84d5a,5.0,5.0,3.0,5,5,4,0.0,-1.0,2.0
910eff5fbc3c7c4a6cae92453a0d5a9fae30a80f2482628a793602ea60bd5b8a,5.0,5.0,5.0,5,5,5,0.0,0.0,0.0
fb636c9a8e7b186ae92875560b9c89a5751fbda643df6c7ed997599240552447,4.0,4.0,5.0,4,4,5,0.0,1.0,-1.0
729e50d0fc14c8c720ea458810d51f0bb60f4ddb160ab680195349edc57c9a9d,3.0,3.0,3.0,4,4,4,1.0,1.0,1.0
ff22aef123f19ad9571ed72a5ac4abd4347c6db9c484f61df4b874915fb6666e,4.0,5.0,4.0,4,4,4,0.0,-1.0,0.0
e6442cc1129452d8c4f0135bbd18c5f0a67c5a0100d4e9ad856693a0b6622d6f,3.0,3.0,4.0,4,5,4,1.0,1.0,1.0
5371fb1fbc95ea4c84a15f68a178924ea31e192c414724113fcb6ade6cd7839b,3.0,3.0,3.0,4,4,4,1.0,1.0,1.0
c02d309132acca1bccdc395f2ddd61fdb2adf17321c2095bd2c1988004f59c86,5.0,5.0,5.0,5,5,4,0.0,-1.0,0.0
a3efa0e5f60c978140b1881fa7d81e74f381291422c05546e96c96eb73ddaf3f,4.0,3.0,3.0,5,5,5,1.0,2.0,2.0
6fedcb42c18098e80ca185be5d00cd313659728aad2f5589a8631f436c384425,3.0,3.0,4.0,4,4,4,1.0,1.0,0.0
4d6e1c858049be570350a2458251144b0e8d604240bf8f978a2282ec7f3739fa,4.0,4.0,3.0,5,5,4,1.0,0.0,2.0
4f2e776785204b1c72c6ae6dddf6ff719900144cb54ba4c317ab806145eb3625,5.0,5.0,5.0,5,5,5,0.0,0.0,0.0
7366e85eb3b8a0b6f7ccfd6021705a55aafab5ef76f70dcd86590579eabe7024,3.0,4.0,3.0,4,4,4,1.0,0.0,1.0
443d94928116b8eb18edfb16ae50137dfaf7701f5db4c9f273b6666211aaca6c,5.0,5.0,4.0,5,5,5,0.0,0.0,1.0
1d5287af9786c925d1ee62d82310b3062a9313f7b63c82acb814e64080e33c4c,4.0,4.0,4.0,5,5,5,1.0,1.0,1.0
