User Email,to articulate my own personal & workplace values (baseline),to identity organisations that share my personal and workplace values (baseline),"at perceiving others’ worldviews and effectively acknowledging, navigating and respecting these views when working in a multicultural team setting (baseline)",and take into consideration local culture and business intelligence when working with an international client/organisation (baseline),to articulate my own personal & workplace values (final),to identity organisations that share my personal and workplace values (final),"at perceiving others’ worldviews and effectively acknowledging, navigating and respecting these views when working in a multicultural team setting (final)",and take into consideration local culture and business intelligence when working with an international client/organisation (final),to articulate my own personal & workplace values (change),to identity organisations that share my personal and workplace values (change),"at perceiving others’ worldviews and effectively acknowledging, navigating and respecting these views when working in a multicultural team setting (change)",and take into consideration local culture and business intelligence when working with an international client/organisation (change)
29da6a70c1106c50993746898aa05bb436857fdf6409ee307f80e52a539233b3,5.0,4.0,4.0,4.0,5,5,5,5.0,0.0,1.0,1.0,1.0
19fac2266092c977a8e6de752a4da49997993516d7ec74f09d52b93946528f3f,5.0,5.0,5.0,5.0,5,5,5,5.0,0.0,0.0,0.0,0.0
4665c2992b0e00e90d143723db78d76c4ddaf043490f877edd69dc8504164656,5.0,4.0,4.0,3.0,5,5,5,5.0,0.0,1.0,1.0,2.0
f7f2895080a1d4762d93434e8524d2c69fbf1eac3f9715c6f2ae6b178b03de27,4.0,4.0,4.0,3.0,4,4,4,4.0,0.0,0.0,0.0,1.0
7768aef6b2aada836406de8a1451f8951a51b2e50904110a53607287421daa8a,4.0,3.0,4.0,4.0,4,4,4,4.0,0.0,1.0,0.0,0.0
f0243033a7717d7e2328693186675b53147a355f6b08fcd387e82103c66d8746,5.0,5.0,5.0,4.0,4,4,4,4.0,-1.0,-1.0,-1.0,0.0
9701c2be75ae5f3843a03d5a73bea0a2c0e4ff22c649e08f6d47f1e6bf89e10b,5.0,4.0,5.0,4.0,4,5,4,5.0,-1.0,1.0,-1.0,1.0
300a3b613f1a4a756babcd624d993defc3392e21a2aebfd05b9cf1410213c1d4,4.0,3.0,3.0,3.0,4,4,4,4.0,0.0,1.0,1.0,1.0
12577e421c758cf4590ecabab057afa72c2528cb03a726ad8d864bef337a302c,4.0,4.0,4.0,4.0,4,4,4,4.0,0.0,0.0,0.0,0.0
f8bce06f23f37aa3d995cf7450e4e966e71033b27cdcf42ce9deb8142ce20a71,4.0,4.0,5.0,3.0,5,5,4,5.0,1.0,1.0,-1.0,2.0
1455dffb95fd1a8b92a710b60821d65ead8d154d276b8c7a9bd816f84f33a447,2.0,1.0,2.0,2.0,1,1,1,1.0,-1.0,0.0,-1.0,-1.0
