User Email,the use of data science within my field of study and how it applies to my future careers (baseline),the key concepts and techniques involved in a data analysis workflow (baseline),and am able to explain how to produce a clean data set (baseline),and am able to explain how to perform a basic data analysis in order to provide insights (baseline),and am able to summarise and identify presentable data driven insights in a report (baseline),the use of data science within my field of study and how it applies to my future careers (final),the key concepts and techniques involved in a data analysis workflow (final),and am able to explain how to produce a clean data set (final),and am able to explain how to perform a basic data analysis in order to provide insights (final),and am able to summarise and identify presentable data driven insights in a report (final),the use of data science within my field of study and how it applies to my future careers (change),the key concepts and techniques involved in a data analysis workflow (change),and am able to explain how to produce a clean data set (change),and am able to explain how to perform a basic data analysis in order to provide insights (change),and am able to summarise and identify presentable data driven insights in a report (change)
52495456a5de9639e0291ad3838733424ef4ac28582999af4719e0909dc2a197,3.0,3.0,2.0,3.0,3.0,3,3,3,3,3,0.0,0.0,1.0,0.0,0.0
29da6a70c1106c50993746898aa05bb436857fdf6409ee307f80e52a539233b3,4.0,4.0,4.0,4.0,4.0,5,5,5,5,5,1.0,1.0,1.0,1.0,1.0
cb78dda6968d487d5c51055b95a800295640f2f3ecc1d046c45c581c38fe58a6,4.0,4.0,3.0,4.0,4.0,4,5,4,3,4,0.0,1.0,1.0,-1.0,0.0
19fac2266092c977a8e6de752a4da49997993516d7ec74f09d52b93946528f3f,5.0,5.0,5.0,5.0,5.0,5,5,5,4,5,0.0,0.0,0.0,-1.0,0.0
4665c2992b0e00e90d143723db78d76c4ddaf043490f877edd69dc8504164656,3.0,4.0,4.0,4.0,4.0,4,4,4,4,4,1.0,0.0,0.0,0.0,0.0
7768aef6b2aada836406de8a1451f8951a51b2e50904110a53607287421daa8a,3.0,4.0,3.0,3.0,3.0,4,4,4,3,4,1.0,0.0,1.0,0.0,1.0
f7f2895080a1d4762d93434e8524d2c69fbf1eac3f9715c6f2ae6b178b03de27,4.0,4.0,4.0,4.0,4.0,4,4,4,4,4,0.0,0.0,0.0,0.0,0.0
f0243033a7717d7e2328693186675b53147a355f6b08fcd387e82103c66d8746,4.0,4.0,4.0,4.0,4.0,4,4,4,4,4,0.0,0.0,0.0,0.0,0.0
fdd1518bf4559832ab481c8b2d53901763d297a0c8f234f343fed81b649ffcf6,2.0,2.0,2.0,2.0,2.0,4,4,3,3,3,2.0,2.0,1.0,1.0,1.0
3a8deebffddf1c4a322c80cfe1e4aa4026a48457f1030f7795cb2d40a6f75fb3,2.0,2.0,2.0,3.0,4.0,3,4,3,3,5,1.0,2.0,1.0,0.0,1.0
dade15d503b8e933e9bd5811f2d1e633fa4f6cc8e1ec0c8de82b5a11d72e5ac4,4.0,4.0,4.0,4.0,4.0,4,4,4,4,4,0.0,0.0,0.0,0.0,0.0
300a3b613f1a4a756babcd624d993defc3392e21a2aebfd05b9cf1410213c1d4,2.0,2.0,2.0,2.0,2.0,3,3,3,3,3,1.0,1.0,1.0,1.0,1.0
f8bce06f23f37aa3d995cf7450e4e966e71033b27cdcf42ce9deb8142ce20a71,5.0,5.0,4.0,4.0,5.0,5,5,4,4,4,0.0,0.0,0.0,0.0,-1.0
12577e421c758cf4590ecabab057afa72c2528cb03a726ad8d864bef337a302c,4.0,4.0,4.0,4.0,4.0,4,4,4,4,4,0.0,0.0,0.0,0.0,0.0
1455dffb95fd1a8b92a710b60821d65ead8d154d276b8c7a9bd816f84f33a447,5.0,5.0,5.0,5.0,5.0,1,1,1,1,1,-4.0,-4.0,-4.0,-4.0,-4.0
c6d0a7e5058c9ff6785be613cdbc66e14aad2bbba8c511c9c722f651036914fa,2.0,2.0,1.0,1.0,1.0,4,5,4,4,5,2.0,3.0,3.0,3.0,4.0
16c4eb9e83ed9235e38c109e2650fb4ed633c6089e008bcc222bff4a4a91b85f,5.0,5.0,5.0,5.0,5.0,4,4,4,4,4,-1.0,-1.0,-1.0,-1.0,-1.0
fe7d902e5e8635c35482c2cb814f3602aaf861d74d699d4b2d61c1b9ee89a5c1,3.0,3.0,3.0,3.0,4.0,4,4,3,4,4,1.0,1.0,0.0,1.0,0.0
ce27fb3f8d91438a24dd501ef711002634319fac44d706bf35a1dd61cd5a77b4,3.0,2.0,2.0,3.0,3.0,5,5,4,5,5,2.0,3.0,2.0,2.0,2.0
