User Email,to use a structured and logical approach when solving complex problems problem solving (baseline),"to think creatively, innovatively and divergently initiate fresh solutions to complex problem (baseline)",cognitive flexibility and curiosity to continue investigating the best solution when aspects of the innovation aren’t working out (baseline),"to pitch an idea succinctly, clearly and persuasively, selecting appropriate presentation materials to support key information (baseline)",to use a structured and logical approach when solving complex problems problem solving (final),"to think creatively, innovatively and divergently initiate fresh solutions to complex problem (final)",cognitive flexibility and curiosity to continue investigating the best solution when aspects of the innovation aren’t working out (final),"to pitch an idea succinctly, clearly and persuasively, selecting appropriate presentation materials to support key information (final)",to use a structured and logical approach when solving complex problems problem solving (change),"to think creatively, innovatively and divergently initiate fresh solutions to complex problem (change)",cognitive flexibility and curiosity to continue investigating the best solution when aspects of the innovation aren’t working out (change),"to pitch an idea succinctly, clearly and persuasively, selecting appropriate presentation materials to support key information (change)"
29da6a70c1106c50993746898aa05bb436857fdf6409ee307f80e52a539233b3,5.0,4.0,5.0,4.0,5,5,5,5.0,0.0,1.0,0.0,1.0
19fac2266092c977a8e6de752a4da49997993516d7ec74f09d52b93946528f3f,5.0,5.0,5.0,5.0,5,5,5,5.0,0.0,0.0,0.0,0.0
7768aef6b2aada836406de8a1451f8951a51b2e50904110a53607287421daa8a,3.0,3.0,3.0,3.0,4,3,4,4.0,1.0,0.0,1.0,1.0
f7f2895080a1d4762d93434e8524d2c69fbf1eac3f9715c6f2ae6b178b03de27,3.0,3.0,3.0,3.0,5,4,4,4.0,2.0,1.0,1.0,1.0
52495456a5de9639e0291ad3838733424ef4ac28582999af4719e0909dc2a197,4.0,5.0,4.0,3.0,3,3,3,3.0,-1.0,-2.0,-1.0,0.0
4665c2992b0e00e90d143723db78d76c4ddaf043490f877edd69dc8504164656,3.0,4.0,3.0,4.0,4,4,4,4.0,1.0,0.0,1.0,0.0
f0243033a7717d7e2328693186675b53147a355f6b08fcd387e82103c66d8746,4.0,4.0,4.0,4.0,5,5,5,5.0,1.0,1.0,1.0,1.0
206194d7e7be7f6b19d1778d6b428d2c9fe7a7422b3ce4077d99c2c591fa217d,5.0,5.0,5.0,5.0,5,5,5,5.0,0.0,0.0,0.0,0.0
300a3b613f1a4a756babcd624d993defc3392e21a2aebfd05b9cf1410213c1d4,3.0,3.0,3.0,3.0,4,4,4,4.0,1.0,1.0,1.0,1.0
12577e421c758cf4590ecabab057afa72c2528cb03a726ad8d864bef337a302c,5.0,4.0,4.0,4.0,5,5,5,5.0,0.0,1.0,1.0,1.0
3a8deebffddf1c4a322c80cfe1e4aa4026a48457f1030f7795cb2d40a6f75fb3,4.0,4.0,3.0,3.0,4,4,5,4.0,0.0,0.0,2.0,1.0
c6d0a7e5058c9ff6785be613cdbc66e14aad2bbba8c511c9c722f651036914fa,2.0,2.0,2.0,2.0,4,4,4,4.0,2.0,2.0,2.0,2.0
1455dffb95fd1a8b92a710b60821d65ead8d154d276b8c7a9bd816f84f33a447,2.0,2.0,3.0,3.0,1,1,1,1.0,-1.0,-1.0,-2.0,-2.0
f8bce06f23f37aa3d995cf7450e4e966e71033b27cdcf42ce9deb8142ce20a71,4.0,3.0,4.0,3.0,4,4,4,4.0,0.0,1.0,0.0,1.0
e74b0490e3856157fe7918b46a0c0093d76c411de7ea5cc0b16d6d61a823e14f,4.0,4.0,4.0,4.0,4,4,4,4.0,0.0,0.0,0.0,0.0
fe7d902e5e8635c35482c2cb814f3602aaf861d74d699d4b2d61c1b9ee89a5c1,4.0,4.0,4.0,4.0,4,5,4,4.0,0.0,1.0,0.0,0.0
ff502187432195570c3295c81333cf675bdd9187839ea7b4ad71fbd54179de09,4.0,5.0,5.0,4.0,5,5,5,5.0,1.0,0.0,0.0,1.0
9f668cbae2a59faa06113e774dfdde65fbeba0e5e8eabe2ba92bab5737708011,3.0,3.0,3.0,3.0,4,4,4,4.0,1.0,1.0,1.0,1.0
eda36b2d3a1dc392cbcdaaf614ead73da235cfacb0373708e3d8a4e3f381ba5f,3.0,3.0,3.0,3.0,3,3,3,3.0,0.0,0.0,0.0,0.0
f7d7ff3a49bb5e5d5adfbcd73c66290fb2fdecb0c1184aa56f2d9c849a7c5d07,4.0,3.0,3.0,2.0,4,5,4,5.0,0.0,2.0,1.0,3.0
4cbe13f8e6ad26038001b04e23f9a9c55474b5974cb31afc42ae7462833bce20,5.0,5.0,5.0,5.0,4,4,4,4.0,-1.0,-1.0,-1.0,-1.0
48a2c2833fd8d06b6b377947a63687de5e963d3234530dca6d3fa93c12b3c1cc,4.0,4.0,3.0,3.0,3,4,2,5.0,-1.0,0.0,-1.0,2.0
dade15d503b8e933e9bd5811f2d1e633fa4f6cc8e1ec0c8de82b5a11d72e5ac4,3.0,3.0,3.0,3.0,4,4,4,4.0,1.0,1.0,1.0,1.0
062644c3e1798d9f2b1bf03a1bc35139ad64a3ad62d6c4cf4ebbcb2ceecb73d9,5.0,5.0,5.0,5.0,5,5,5,5.0,0.0,0.0,0.0,0.0
f60d5bc73c66139c281433b878e354c783515cdbdcdbc685d05c9e8c2e894441,4.0,3.0,3.0,4.0,4,4,5,5.0,0.0,1.0,2.0,1.0
2028e763fb18a897ca8ecbeacff76270c60404f89c1ae50c5abf2c100e1e79a9,5.0,4.0,4.0,4.0,4,4,4,4.0,-1.0,0.0,0.0,0.0
1c59700e8d606c9bd7ff14a8dbf2d43ceaedaffcd5dba2f8b79d245ea6b9d436,4.0,3.0,3.0,2.0,5,5,5,5.0,1.0,2.0,2.0,3.0
e5e4f6b969c520f38ac61c5a33013b1497de74817f42b6676cc5b33c34d31bde,4.0,4.0,5.0,4.0,4,4,4,4.0,0.0,0.0,-1.0,0.0
e70d43cba2d7826e7eef244e72c092d5a759d7098c3375ecf4a57582c06823e6,4.0,4.0,4.0,3.0,4,4,4,4.0,0.0,0.0,0.0,1.0
30338d6ce76910f1205e317b893995930af01f61fe84fa6112af868b4c63ef30,3.0,3.0,3.0,3.0,3,3,3,3.0,0.0,0.0,0.0,0.0
f2b81fdf9478e65645f721944e574f94353b06180f69111db66d1fa0991aa2ee,4.0,3.0,2.0,4.0,5,5,5,4.0,1.0,2.0,3.0,0.0
5ffa541db812606e6ede19cc727e0efef77afaa2ad6c2b0b96aa5ec4737cb8c1,5.0,5.0,5.0,3.0,5,5,5,5.0,0.0,0.0,0.0,2.0
ab693db49a8874ddb4d8d95e7bad9dba9afbf1ad207c2f1816f5ff87ac725ef7,5.0,5.0,5.0,5.0,5,5,5,5.0,0.0,0.0,0.0,0.0
d92d92d35254076cc7e5e532875f22f5042e2866942dca7f3fe7c1a08b934c53,4.0,4.0,4.0,4.0,4,5,5,5.0,0.0,1.0,1.0,1.0
acff804c2ab3780cc968c344e10d7ce8dd978bffec324d0c7c7463fc9e64058c,3.0,2.0,3.0,2.0,4,4,4,4.0,1.0,2.0,1.0,2.0
1b4d762d2536dc516992c3580b4b2155240f9f8e73a2064ffb1784518eb9ef35,4.0,4.0,3.0,4.0,4,4,4,4.0,0.0,0.0,1.0,0.0
8437a77151608bd08f1da22d80f4a802019735e12500a69a8bc1b0fabe20081c,3.0,4.0,4.0,3.0,4,4,5,4.0,1.0,0.0,1.0,1.0
018a2c95a2cb01a262b398a2e2854080701b3b92a1997b8917314a8da670a9e9,5.0,4.0,5.0,4.0,5,4,5,5.0,0.0,0.0,0.0,1.0
0889a52fa665b30f50e7b547948d5704b89914da437e88d1cda137105e8854c8,5.0,5.0,4.0,5.0,5,5,4,4.0,0.0,0.0,0.0,-1.0
c6132040ebed9c538c4f81488d7116178ce3b458a3634555956c5d707e9e2eb0,5.0,5.0,4.0,5.0,4,5,4,4.0,-1.0,0.0,0.0,-1.0
3226644c5fdcc2a1759e01a45f8959579996a6d70b51d76f331c0b8ee6a8d0df,3.0,3.0,4.0,4.0,4,4,4,4.0,1.0,1.0,0.0,0.0
6191bd3900cd99b15817ffa5b0b7316dc8e8b6dac627e8b1b06d8c89602f90f7,3.0,3.0,3.0,3.0,5,5,5,5.0,2.0,2.0,2.0,2.0
3b971cf1a2ff0d1a674b2fcc81473eeb2889f33f2a670254604c251ed52a0219,3.0,3.0,3.0,3.0,3,4,4,4.0,0.0,1.0,1.0,1.0
fdd1518bf4559832ab481c8b2d53901763d297a0c8f234f343fed81b649ffcf6,3.0,4.0,3.0,4.0,4,4,4,4.0,1.0,0.0,1.0,0.0
a1e3d65edd29d02f0709ec57748f675769e5d55019bfcc33aca8ee3fae631609,3.0,4.0,3.0,3.0,4,4,4,4.0,1.0,0.0,1.0,1.0
b5a53e4247eeb8407835e2df1020d91c4758902e1ede373ef0480d7b9241d210,3.0,3.0,3.0,2.0,4,4,4,4.0,1.0,1.0,1.0,2.0
