User Email,to practise critical thinking and structured problem-solving while working towards solutions (baseline),to truly understand the root cause of a problem and can accurately and succinctly articulate that core problem (baseline),to maintain a level of adaptability and flexibility during the generation of solutions to situations (baseline),to practise critical thinking and structured problem-solving while working towards solutions (final),to maintain a level of adaptability and flexibility during the generation of solutions to situations (final),to truly understand the root cause of a problem and can accurately and succinctly articulate that core problem (final),to practise critical thinking and structured problem-solving while working towards solutions (change),to truly understand the root cause of a problem and can accurately and succinctly articulate that core problem (change),to maintain a level of adaptability and flexibility during the generation of solutions to situations (change)
52495456a5de9639e0291ad3838733424ef4ac28582999af4719e0909dc2a197,4.0,4.0,4.0,3,3,3,-1.0,-1.0,-1.0
29da6a70c1106c50993746898aa05bb436857fdf6409ee307f80e52a539233b3,5.0,4.0,5.0,5,5,5,0.0,1.0,0.0
9752baf4d032be7369d4c379df64970b94551995451b93fcaa52a4fff8323429,3.0,3.0,4.0,4,5,5,1.0,2.0,1.0
19fac2266092c977a8e6de752a4da49997993516d7ec74f09d52b93946528f3f,5.0,5.0,5.0,5,5,5,0.0,0.0,0.0
7768aef6b2aada836406de8a1451f8951a51b2e50904110a53607287421daa8a,2.0,4.0,3.0,3,4,4,1.0,0.0,1.0
4665c2992b0e00e90d143723db78d76c4ddaf043490f877edd69dc8504164656,3.0,5.0,4.0,4,4,4,1.0,-1.0,0.0
f7f2895080a1d4762d93434e8524d2c69fbf1eac3f9715c6f2ae6b178b03de27,3.0,3.0,3.0,5,5,5,2.0,2.0,2.0
f0243033a7717d7e2328693186675b53147a355f6b08fcd387e82103c66d8746,5.0,5.0,5.0,5,5,5,0.0,0.0,0.0
206194d7e7be7f6b19d1778d6b428d2c9fe7a7422b3ce4077d99c2c591fa217d,5.0,5.0,5.0,5,5,5,0.0,0.0,0.0
90b46a6a23a157053974e336669d0757dec3df6b997911104a09f674fb589510,4.0,5.0,4.0,3,4,3,-1.0,-2.0,0.0
300a3b613f1a4a756babcd624d993defc3392e21a2aebfd05b9cf1410213c1d4,3.0,4.0,4.0,5,5,5,2.0,1.0,1.0
e5e4f6b969c520f38ac61c5a33013b1497de74817f42b6676cc5b33c34d31bde,4.0,5.0,4.0,4,4,4,0.0,-1.0,0.0
103b7d8b8b3a60e10026bfa9788a6bfd0ee2a4b9ad20996aa9274ac76edc55dc,4.0,4.0,4.0,5,4,5,1.0,1.0,0.0
f7d7ff3a49bb5e5d5adfbcd73c66290fb2fdecb0c1184aa56f2d9c849a7c5d07,4.0,3.0,4.0,5,5,4,1.0,1.0,1.0
c6d0a7e5058c9ff6785be613cdbc66e14aad2bbba8c511c9c722f651036914fa,2.0,2.0,2.0,4,4,4,2.0,2.0,2.0
f8bce06f23f37aa3d995cf7450e4e966e71033b27cdcf42ce9deb8142ce20a71,3.0,4.0,5.0,5,5,5,2.0,1.0,0.0
5be1e30a0b86121875c16788adc9e1b52066946c513fbf013e22841531163183,3.0,2.0,2.0,4,4,4,1.0,2.0,2.0
ce27fb3f8d91438a24dd501ef711002634319fac44d706bf35a1dd61cd5a77b4,5.0,3.0,5.0,4,4,4,-1.0,1.0,-1.0
f0588f2e2b001c50c0438bc515236ade1e0f74b8911d91a19acbe09edf7d9d58,4.0,5.0,4.0,5,5,5,1.0,0.0,1.0
0589ebf9202eec73129a8676fa2496c00073966bec38dc16b5d1242a64755bfe,5.0,5.0,4.0,4,4,3,-1.0,-2.0,0.0
fe7d902e5e8635c35482c2cb814f3602aaf861d74d699d4b2d61c1b9ee89a5c1,5.0,5.0,4.0,5,5,4,0.0,-1.0,1.0
ec77f685b417d6026d9f82b008c5180e3a6ff1db516cccc66c2be73a110523ae,4.0,4.0,4.0,5,5,5,1.0,1.0,1.0
9f668cbae2a59faa06113e774dfdde65fbeba0e5e8eabe2ba92bab5737708011,5.0,4.0,4.0,4,5,4,-1.0,0.0,1.0
b639aeea9d18d901a94e28843d3344ebcda5aa30384c62416af5e324114ebc10,4.0,4.0,4.0,4,4,3,0.0,-1.0,0.0
c8577212f8bcf18fba127be53e1af282467396043c6b130f2d0ce15e2f4c4dcc,4.0,5.0,4.0,4,4,4,0.0,-1.0,0.0
eda36b2d3a1dc392cbcdaaf614ead73da235cfacb0373708e3d8a4e3f381ba5f,3.0,3.0,3.0,4,4,4,1.0,1.0,1.0
bb718314e31deae3e9028b9aa28ce63561b8f5fce904ba7f7f884cfb617b9f27,3.0,2.0,4.0,5,4,5,2.0,3.0,0.0
48a2c2833fd8d06b6b377947a63687de5e963d3234530dca6d3fa93c12b3c1cc,5.0,4.0,4.0,4,5,3,-1.0,-1.0,1.0
062644c3e1798d9f2b1bf03a1bc35139ad64a3ad62d6c4cf4ebbcb2ceecb73d9,4.0,5.0,4.0,5,5,5,1.0,0.0,1.0
dade15d503b8e933e9bd5811f2d1e633fa4f6cc8e1ec0c8de82b5a11d72e5ac4,3.0,3.0,3.0,4,4,4,1.0,1.0,1.0
cf65fb5274a666dc8f72bd7ea0b27201737f52cc10c276a0d94d34d822925724,3.0,3.0,3.0,5,5,5,2.0,2.0,2.0
76fa5cbc4f1178649daea59e9c7e45b17034e2860838f9ff312986dda2d97c08,5.0,4.0,4.0,5,5,4,0.0,0.0,1.0
2706cb2cfb8afc6ce51306826d5c700f9e1682f91afeaa3b58990ca16d5918ea,3.0,3.0,5.0,5,4,5,2.0,2.0,-1.0
b8e8365e5ada508e26cf853618da9c49cb78cb4d7318411b8b085173f6f87028,5.0,5.0,4.0,4,5,5,-1.0,0.0,1.0
30307f3d82aa624aa48ddb6c0e4320ec16f5325fa7c170adbe4b3170db8d7c8d,3.0,4.0,3.0,4,3,4,1.0,0.0,0.0
67fb2b8a55315af9575a19fe059ea1316a758d077bbe65db7da7f5283284fe24,4.0,5.0,3.0,5,5,4,1.0,-1.0,2.0
e74b0490e3856157fe7918b46a0c0093d76c411de7ea5cc0b16d6d61a823e14f,4.0,4.0,4.0,4,4,4,0.0,0.0,0.0
f80db136dbd77f41ff8307b36813b425a875609df4c15bd18b0d2196d56d9853,3.0,4.0,4.0,4,4,4,1.0,0.0,0.0
2028e763fb18a897ca8ecbeacff76270c60404f89c1ae50c5abf2c100e1e79a9,4.0,4.0,4.0,4,4,4,0.0,0.0,0.0
30338d6ce76910f1205e317b893995930af01f61fe84fa6112af868b4c63ef30,3.0,3.0,3.0,3,3,3,0.0,0.0,0.0
7e0ae8f85bab0eebeed0c6d5c9089b399ac3e20f355abc60594c99e881582837,4.0,4.0,4.0,4,4,4,0.0,0.0,0.0
4981b10710b3426edce6e239ccc87af039e4fc7b9778328363a98644b44a7922,2.0,3.0,4.0,4,4,4,2.0,1.0,0.0
940e049ae0d404277d1c33820af939ddf8d2f3749b3a2e5d58e887bc75b084b2,4.0,5.0,4.0,4,4,4,0.0,-1.0,0.0
491341648e1373e7b0793958f13c96a0c3375bdfd52bb4eeb1d3dc6cc77a9334,3.0,3.0,3.0,4,4,4,1.0,1.0,1.0
b5a53e4247eeb8407835e2df1020d91c4758902e1ede373ef0480d7b9241d210,4.0,2.0,3.0,4,4,4,0.0,2.0,1.0
1d262855e7cc4e89a762f24c877eb2ab8f2e5753e694b4d6e98aedbf7eafafb7,4.0,3.0,5.0,4,4,4,0.0,1.0,-1.0
9aed1a3ce9d8e3550940f6567ca59fef7a2c1e153303327cd0b9064b8979245b,4.0,3.0,4.0,5,4,5,1.0,2.0,0.0
acff804c2ab3780cc968c344e10d7ce8dd978bffec324d0c7c7463fc9e64058c,3.0,3.0,4.0,4,4,4,1.0,1.0,0.0
6aa0adef2d7d46bba2d24218849951be9d2a914ebc5763ad32f2460783f33b2a,3.0,2.0,4.0,4,4,4,1.0,2.0,0.0
4960ef5ea609af26703ed89b830bc75f27437c725501e095ed841d1acc4df2a4,4.0,5.0,4.0,4,5,4,0.0,-1.0,1.0
20b6e82db9c9d26cd08f4354496e3e73c9e91efcbb19785b1d5dfa752d23eee0,5.0,5.0,5.0,5,5,5,0.0,0.0,0.0
6f879ea464106cdc898f3a210551e0dceedaaa76371846bdcbbb2ca3ca15f133,4.0,3.0,4.0,4,4,4,0.0,1.0,0.0
6db190e6a5a26ba23f65d9ad643725df8d32ca88d5bb2136bfa7bcb42e5c0ee2,3.0,4.0,4.0,4,4,4,1.0,0.0,0.0
5ffa541db812606e6ede19cc727e0efef77afaa2ad6c2b0b96aa5ec4737cb8c1,5.0,5.0,5.0,5,5,5,0.0,0.0,0.0
c6132040ebed9c538c4f81488d7116178ce3b458a3634555956c5d707e9e2eb0,5.0,4.0,4.0,4,4,5,-1.0,1.0,0.0
4fa9693fcc4e7d370f8d3e9de93b1859638f5166b79a25e6633abaf7c9cf3c55,4.0,3.0,4.0,5,5,4,1.0,1.0,1.0
6191bd3900cd99b15817ffa5b0b7316dc8e8b6dac627e8b1b06d8c89602f90f7,3.0,4.0,3.0,5,5,5,2.0,1.0,2.0
f60d5bc73c66139c281433b878e354c783515cdbdcdbc685d05c9e8c2e894441,4.0,5.0,4.0,4,4,4,0.0,-1.0,0.0
f2c843d1a4b9aaaadf5ddc280b33546b12e1283bc6624345dce3dc4fd047e100,3.0,3.0,3.0,3,3,3,0.0,0.0,0.0
3b971cf1a2ff0d1a674b2fcc81473eeb2889f33f2a670254604c251ed52a0219,3.0,3.0,4.0,4,4,4,1.0,1.0,0.0
3a8deebffddf1c4a322c80cfe1e4aa4026a48457f1030f7795cb2d40a6f75fb3,4.0,3.0,4.0,4,4,4,0.0,1.0,0.0
fdd1518bf4559832ab481c8b2d53901763d297a0c8f234f343fed81b649ffcf6,4.0,4.0,4.0,4,5,4,0.0,0.0,1.0
7f0f6acfe433220d15d1c2673b07f143059500d2e6b4389d77a0e92fb8a790a7,4.0,2.0,2.0,4,3,4,0.0,2.0,1.0
1a51c015ef244e53d284a6d7b5107855bcf7909f8858868bcad5f374908b9a0d,3.0,3.0,4.0,4,4,4,1.0,1.0,0.0
c34a979ded4ed502c459c07d28117a969745e449efb1718f955596672eb060de,4.0,4.0,3.0,4,4,4,0.0,0.0,1.0
1c59700e8d606c9bd7ff14a8dbf2d43ceaedaffcd5dba2f8b79d245ea6b9d436,3.0,3.0,3.0,5,5,5,2.0,2.0,2.0
bfe3370705ad87adcc2ca45375262b34395085f5fefd508b53c97dffbde70203,4.0,3.0,3.0,5,4,4,1.0,1.0,1.0
26ffcf4c91006a15f9f587c14633e7c4b02c73e7f0f69195f139b4f43a06d20a,4.0,5.0,4.0,5,5,5,1.0,0.0,1.0
fb8af90b16c24a9eec09a5da46ffd4d55334178c6b64209f9f5c8d337b44d274,4.0,2.0,5.0,5,4,5,1.0,3.0,-1.0
89bf54e332c6ce08bed0a5dd3b306812ba0246b19386273f3b1866fa9d5bb775,5.0,4.0,4.0,5,5,5,0.0,1.0,1.0
e97bf6ed7f12a2694b908050d0296c6131a9a83469269798a8f3fee33a4d0fce,4.0,4.0,3.0,4,4,3,0.0,-1.0,1.0
9a8b8ab7083c9dff35393c84eee6fca4c43a2d25e76afe69f574eee8f5645880,5.0,5.0,4.0,4,4,4,-1.0,-1.0,0.0
40ca961b227da5d5cd2fa750591b23a728755dee17a26a8a43536f8f82b32096,5.0,4.0,5.0,5,5,5,0.0,1.0,0.0
b8778bfd9360fbdaa24de80b06aeb970a343bfe864dea3ea381ff2e73d823083,5.0,5.0,3.0,5,5,5,0.0,0.0,2.0
d32da609ea57b157ac9d71ad7173606d85a73b8045750efbea04e0355a8c46de,2.0,4.0,3.0,4,4,4,2.0,0.0,1.0
897ec107352dbd1bbcfcf271c36ff89e955de3e47c3a9bcbf974df3782c3b7d5,5.0,4.0,4.0,4,4,4,-1.0,0.0,0.0
df0bd5cd8fbe048dfd778c4972aef4fa2f32b98b76258de096e9de047d8486ea,2.0,2.0,2.0,4,4,4,2.0,2.0,2.0
b397d0be0340c34fc8980f8dc9c19f5b4d66a8344b393428884c29cff0a325f0,3.0,4.0,3.0,4,4,4,1.0,0.0,1.0
18a2dc3b5403a8098d7394dfbccf6a3008037b5f23512801eee9c35f3983faec,3.0,4.0,3.0,4,4,3,1.0,-1.0,1.0
1846bbd4ca46bef1d932f8e40b2bf68679d7b26f4872d2a9c327359fb3368220,3.0,3.0,3.0,5,5,3,2.0,0.0,2.0
546c2c164a353888092fcfad3e1f554ea67b00922c1822772ab99e15a25abd8c,5.0,5.0,5.0,4,4,4,-1.0,-1.0,-1.0
942dfe9c621991351fb217841f7672bd28aa683acd32fc421d2ab8a79fade2c4,4.0,4.0,3.0,5,5,5,1.0,1.0,2.0
db8edd1499249d710906d996d0afdfa1d34c7b7cabdc403f6dd3c29d1556ad3d,5.0,4.0,4.0,4,5,5,-1.0,1.0,1.0
99516e7e08dc5ce67d5adc2363f5d58bd05cd8d3a39dc7768727a7d65349cf70,4.0,5.0,4.0,5,5,4,1.0,-1.0,1.0
a1e3d65edd29d02f0709ec57748f675769e5d55019bfcc33aca8ee3fae631609,4.0,4.0,4.0,4,4,4,0.0,0.0,0.0
1805e372bd131e5c5e617f9855c24e810f4dcfe0707f3e100fb41fd12aae4e13,3.0,3.0,4.0,5,5,5,2.0,2.0,1.0
340ccf2a7dda547fc8ede5ee84c70b31b03714af6d4265c44561b86f9c55a7fe,3.0,3.0,2.0,4,4,3,1.0,0.0,2.0
b42921fe42ec50cf46e9c983e3ab53b10dc79e50dec78bde2fdeff3d6592bfc3,4.0,5.0,5.0,4,4,3,0.0,-2.0,-1.0
71a1f1a7ab2dc5f351e7ec0f7080d9550c42c743ca0fe5217441cea564702460,4.0,5.0,4.0,5,4,4,1.0,-1.0,0.0
