User Email,and can articulate my strengths as a team member (baseline),how to set up a new team for success (baseline),confident communicating and collaborating effectively when working in a virtual team environment (baseline),effectively and efficiently navigate team conflicts while working towards solutions (baseline),and can articulate my strengths as a team member (final),how to set up a new team for success (final),confident communicating and collaborating effectively when working in a virtual team environment (final),effectively and efficiently navigate team conflicts while working towards solutions (final),and can articulate my strengths as a team member (change),how to set up a new team for success (change),confident communicating and collaborating effectively when working in a virtual team environment (change),effectively and efficiently navigate team conflicts while working towards solutions (change)
0a8df97254d075b7c888028b960348230665bb092fad8dd293f9a66cf112b079,4.0,3.0,4.0,4.0,5,5,5,5,1.0,2.0,1.0,1.0
d396749e6b13a18498761aa59220e28238fed4ee00787d51fd12ecc8da60e176,2.0,2.0,3.0,3.0,4,4,4,4,2.0,2.0,1.0,1.0
e67efe5514f5c8720fa06e83e2cf0baad7867647a3d3f0e54e3147e462908100,3.0,2.0,3.0,3.0,4,4,5,4,1.0,2.0,2.0,1.0
1790758f703eae5d66a23324e9ac3646f78b0be4a40eb5d311c50f2c068acd99,5.0,4.0,4.0,3.0,5,5,5,5,0.0,1.0,1.0,2.0
d408bde7be9242d7e0d74900eb1faecdcab28e40e941e9526788051f3d6b8a5c,4.0,4.0,4.0,4.0,5,5,5,5,1.0,1.0,1.0,1.0
858a462625bba5029b46aacccc8f6bc6f544df6b67e2b71706862ecb02d2851f,5.0,3.0,5.0,5.0,5,5,5,5,0.0,2.0,0.0,0.0
88d25b0d2ebf54ae0b5bab0334e8ae59174386a10a25d14c0f552b698f2d160c,5.0,4.0,4.0,4.0,5,5,5,5,0.0,1.0,1.0,1.0
97650d00fd5ebf9575a99823b338a7ebb21f187bb878ff3d4d349e39d11c7e43,5.0,3.0,4.0,5.0,5,5,5,5,0.0,2.0,1.0,0.0
eed3f28e80d06cd95f9e721fd73a0752b979e7e7898c651f1314abd7aea60e12,4.0,3.0,4.0,3.0,4,4,5,5,0.0,1.0,1.0,2.0
59d9a580d4b5fb22d504c5bd61e0476469df87b6eb96e24cf13a4195fea1a59f,4.0,4.0,4.0,5.0,5,5,5,5,1.0,1.0,1.0,0.0
28612072e3a0ec3a7536efb991d36eb85393e8f91e8a44ac16ac847237eb6830,4.0,3.0,4.0,3.0,4,4,4,4,0.0,1.0,0.0,1.0
2c01a31ec029f06c334b99d09818001820b59c8b3e0e57c9989b9ef5635bfaa0,5.0,5.0,5.0,4.0,5,5,5,5,0.0,0.0,0.0,1.0
98bae42b3cb863ff9679366e46384b988f6a5293642f1764984f5b18be453ffd,4.0,4.0,4.0,3.0,4,5,4,5,0.0,1.0,0.0,2.0
5353788b73c3e4508a452879022f47e098386e6d2e6eff4139de2786f4fe1933,3.0,2.0,3.0,3.0,5,5,5,4,2.0,3.0,2.0,1.0
a670413ab2b488d7b27652dad8a7a0474c9705410beae3dd0cc66eb8adb1105f,4.0,4.0,4.0,4.0,4,4,4,5,0.0,0.0,0.0,1.0
73b260d5ef6a9fa3b25292bb0bbcce56ca1a954828f305eb92fc58bb8638314a,4.0,1.0,3.0,4.0,3,4,4,5,-1.0,3.0,1.0,1.0
7c16d82357359e825e6b42223c8c3710f1a061ab7721a471c8b1ac21c96b5c83,3.0,2.0,3.0,3.0,4,3,2,3,1.0,1.0,-1.0,0.0
bbe81c1ba4f2d2abca9144260cac00844fa75dbea6ed0b57930cabc12f70991c,4.0,3.0,5.0,4.0,5,4,4,4,1.0,1.0,-1.0,0.0
1ecb34dae3653491f9dda54548c43aeeb6fec5874d2c4d450e3489b581ac712b,4.0,2.0,4.0,3.0,5,5,4,5,1.0,3.0,0.0,2.0
50dacae1e31b89436e801f3adef53d2692079724b30affe3adec367afa084af5,4.0,3.0,4.0,3.0,4,4,5,4,0.0,1.0,1.0,1.0
c47367753546a669b369fe496d91b4a3f93d7616ee56a11b9116ac3c0c91f63c,3.0,4.0,3.0,3.0,3,4,4,4,0.0,0.0,1.0,1.0
d9205be9d55165619624497d5c5fcfe280dc1b93026e17aa505c0f436a03454f,4.0,3.0,5.0,4.0,5,4,5,4,1.0,1.0,0.0,0.0
11dc574013c387e1202ddf4b2324969defc9ec03e153b5e37c90d24efdc48d71,4.0,4.0,2.0,4.0,5,5,4,4,1.0,1.0,2.0,0.0
7f840a8559ed745a608888cf8f7e655a4e81c624e284ad8bf7d3c5c48617036c,3.0,2.0,3.0,4.0,4,4,3,4,1.0,2.0,0.0,0.0
1c8dd62dee00655e98cf398006ad2b1d4874a83726538d9b8428d4a4a279c781,4.0,3.0,5.0,4.0,3,3,3,3,-1.0,0.0,-2.0,-1.0
0957312adb11c8315861810f9051b7acba3b7c268e0a9a1b5dae19d2ef240e45,4.0,3.0,3.0,4.0,5,5,5,5,1.0,2.0,2.0,1.0
8e6e663546aa57dce7a9776151baffdfb96e953ea4eb6cda8067d4dd18ea4158,3.0,2.0,3.0,2.0,4,4,3,4,1.0,2.0,0.0,2.0
faf3d789e530d6799a95a07dbfaa1dbd32947fc583297769de446c3356527845,5.0,4.0,4.0,4.0,5,4,4,4,0.0,0.0,0.0,0.0
5d8f213826ec84721ae8d53a4b8a81f874c600796e6259db34a634a7cd475d26,5.0,4.0,4.0,4.0,5,5,5,5,0.0,1.0,1.0,1.0
6503dfb10e0b3c5e4db3e913b2527dbcaecbb4dfa8ff1ef38a75cdce0f1ec2a9,4.0,4.0,5.0,5.0,5,5,5,5,1.0,1.0,0.0,0.0
6cce051afc74f159ab81afa80d8a16ec340d1c47d815b3472b04b13dd8878999,4.0,4.0,5.0,5.0,5,5,5,5,1.0,1.0,0.0,0.0
91d845edc2c12e4b2f22755cd530ef286170ff71544b0547cc52d3e8bf20f5b6,4.0,3.0,3.0,4.0,4,4,4,4,0.0,1.0,1.0,0.0
589a2a907a31d2e2fd97e492b450595c96bda6d5f9db237366e5f195f4fab9bc,4.0,3.0,3.0,4.0,5,5,5,5,1.0,2.0,2.0,1.0
0cbd40696a76e08d4bf308d8294a4d543282fc0cf63fe7a33b8ee4a37cb995ca,4.0,4.0,4.0,4.0,5,5,5,5,1.0,1.0,1.0,1.0
19f0c396dadf3a87372e92ea496f935145dba99ea5b25ac6ada042d5173a3ede,5.0,5.0,5.0,4.0,5,5,5,5,0.0,0.0,0.0,1.0
9f64606d4797f1f806f3fcd6ec1d366264d68fa15d3b9224a09ff694ad8cd3e4,4.0,3.0,2.0,4.0,5,4,4,5,1.0,1.0,2.0,1.0
d199b8e635360cbda71b1ef6e23a13f14d8636a9637c15fba90595448488e777,5.0,4.0,5.0,4.0,4,4,5,4,-1.0,0.0,0.0,0.0
b1dedcc51812b4e5abc6ab0a32f672adfe5b0f45356ba3204a80870670913065,4.0,3.0,3.0,5.0,4,5,4,5,0.0,2.0,1.0,0.0
fd09a801821f132a0671b9596561f6308ff0de84b9c9f6167cbfbdc6e4279bfe,4.0,4.0,3.0,3.0,5,5,5,5,1.0,1.0,2.0,2.0
84a663d2d3b45182d01e27842cefe115283fffaabf7c0bd068ffc69baf7cda67,5.0,3.0,3.0,4.0,5,5,5,5,0.0,2.0,2.0,1.0
